code,name,metric,fy,basis,value,unit,source,as_of
1808,HASEKO Corporation,net_sales,FY2027,consensus,1444762393290.0,jpy_abs,yfinance,2026-08-27
1808,HASEKO Corporation,operating_profit,FY2027,company,110000000000.0,jpy_abs,jquants,2026-05-15
1808,HASEKO Corporation,eps,FY2028,consensus,292.58777,jpy,yfinance,2026-08-27
1808,HASEKO Corporation,net_sales,FY2028,consensus,1445883004360.0,jpy_abs,yfinance,2026-08-27
1812,KAJIMA CORPORATION,dps,FY2026,company,132.0,jpy,jquants,2026-05-14
1812,KAJIMA CORPORATION,eps,FY2026,company,364.11,jpy,jquants,2026-05-14
1812,KAJIMA CORPORATION,eps,FY2026,consensus,396.90167,jpy,yfinance,2026-08-27
1812,KAJIMA CORPORATION,net_profit,FY2026,company,170000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,net_sales,FY2026,company,3030000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,net_sales,FY2026,consensus,2954457571430.0,jpy_abs,yfinance,2026-08-27
1812,KAJIMA CORPORATION,operating_profit,FY2026,company,228000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,dps,FY2027,company,146.0,jpy,jquants,2026-05-14
1812,KAJIMA CORPORATION,eps,FY2027,company,364.85,jpy,jquants,2026-05-14
1812,KAJIMA CORPORATION,eps,FY2027,consensus,431.53857,jpy,yfinance,2026-08-27
1812,KAJIMA CORPORATION,net_profit,FY2027,company,170000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,net_sales,FY2027,company,2900000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,net_sales,FY2027,consensus,3162042857140.0,jpy_abs,yfinance,2026-08-27
1812,KAJIMA CORPORATION,operating_profit,FY2027,company,200000000000.0,jpy_abs,jquants,2026-05-14
1812,KAJIMA CORPORATION,eps,FY2028,consensus,430.6357,jpy,yfinance,2026-08-27
1812,KAJIMA CORPORATION,net_sales,FY2028,consensus,3162035455070.0,jpy_abs,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",dps,FY2026,company,74.6,jpy,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",eps,FY2026,company,286.0,jpy,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",eps,FY2026,consensus,333.66586,jpy,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_profit,FY2026,company,95000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_sales,FY2026,company,1980000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_sales,FY2026,consensus,2058974952290.0,jpy_abs,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",operating_profit,FY2026,company,135000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",dps,FY2027,company,163.0,jpy,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",eps,FY2027,company,326.0,jpy,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",eps,FY2027,consensus,326.1204,jpy,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_profit,FY2027,company,108000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_sales,FY2027,company,2050000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_sales,FY2027,consensus,2128864646319.0,jpy_abs,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",operating_profit,FY2027,company,142000000000.0,jpy_abs,jquants,2026-05-26
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",eps,FY2028,consensus,324.62912,jpy,yfinance,2026-08-27
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",net_sales,FY2028,consensus,2131857269310.0,jpy_abs,yfinance,2026-08-27
1885,TOA CORPORATION,dps,FY2026,company,92.0,jpy,jquants,2026-05-13
1885,TOA CORPORATION,eps,FY2026,company,228.37,jpy,jquants,2026-05-13
1885,TOA CORPORATION,eps,FY2026,consensus,217.75,jpy,yfinance,2026-08-27
1885,TOA CORPORATION,net_profit,FY2026,company,17800000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,net_sales,FY2026,company,345000000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,net_sales,FY2026,consensus,349200000000.0,jpy_abs,yfinance,2026-08-27
1885,TOA CORPORATION,operating_profit,FY2026,company,23100000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,dps,FY2027,company,77.0,jpy,jquants,2026-05-13
1885,TOA CORPORATION,eps,FY2027,company,187.54,jpy,jquants,2026-05-13
1885,TOA CORPORATION,eps,FY2027,consensus,226.8,jpy,yfinance,2026-08-27
1885,TOA CORPORATION,net_profit,FY2027,company,14500000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,net_sales,FY2027,company,360000000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,net_sales,FY2027,consensus,360700000000.0,jpy_abs,yfinance,2026-08-27
1885,TOA CORPORATION,operating_profit,FY2027,company,21100000000.0,jpy_abs,jquants,2026-05-13
1885,TOA CORPORATION,eps,FY2028,consensus,226.8,jpy,yfinance,2026-08-27
1885,TOA CORPORATION,net_sales,FY2028,consensus,360700000000.0,jpy_abs,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",dps,FY2026,company,44.0,jpy,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",eps,FY2026,company,115.84,jpy,jquants,2026-05-08
