Code,MarketDiv,Name,ScaleCategory,Sector,Sector33
5020,0111,"ENEOS Holdings,Inc.",TOPIX Large70,,
5021,0111,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",TOPIX Mid400,,
5032,0111,ANYCOLOR Inc.,TOPIX Small 1,,
5076,0111,INFRONEER Holdings Inc.,TOPIX Mid400,,
5101,0111,"The Yokohama Rubber Company,Limited",TOPIX Mid400,,
5105,0111,Toyo Tire Corporation,TOPIX Mid400,,
5108,0111,BRIDGESTONE CORPORATION,TOPIX Large70,,
5110,0111,"Sumitomo Rubber Industries,Ltd.",TOPIX Mid400,,
5192,0111,Mitsuboshi Belting Ltd.,TOPIX Small 1,,
5201,0111,AGC Inc.,TOPIX Mid400,,
5202,0111,"Nippon Sheet Glass Company,Limited",TOPIX Small 1,,
5208,0111,"Arisawa Mfg.Co.,Ltd.",TOPIX Small 1,,
5214,0111,"Nippon Electric Glass Co.,Ltd.",TOPIX Mid400,,
5232,0111,"Sumitomo Osaka Cement Co.,Ltd.",TOPIX Mid400,,
5233,0111,TAIHEIYO CEMENT CORPORATION,TOPIX Mid400,,
5262,0111,Nippon Hume Corporation,TOPIX Small 1,,
5301,0111,"TOKAI CARBON CO.,LTD.",TOPIX Mid400,,
5302,0111,"Nippon Carbon Co.,Ltd.",TOPIX Small 1,,
5310,0111,"TOYO TANSO CO.,LTD.",TOPIX Small 1,,
5331,0111,"NORITAKE CO.,LIMITED",TOPIX Small 1,,
5332,0111,TOTO LTD.,TOPIX Mid400,,
5333,0111,NGK Corporation,TOPIX Mid400,,
5334,0111,"Niterra Co.,Ltd.",TOPIX Mid400,,
5344,0111,"MARUWA CO.,LTD.",TOPIX Mid400,,
5351,0111,"SHINAGAWA REFRA CO.,LTD.",TOPIX Small 1,,
5384,0111,FUJIMI INCORPORATED,TOPIX Small 1,,
5393,0111,NICHIAS CORPORATION,TOPIX Mid400,,
5401,0111,NIPPON STEEL CORPORATION,TOPIX Large70,,
5406,0111,"Kobe Steel,Ltd.",TOPIX Mid400,,
5410,0111,"Godo Steel,Ltd.",TOPIX Small 1,,
5411,0111,"JFE Holdings,Inc.",TOPIX Mid400,,
5423,0111,"TOKYO STEEL MANUFACTURING CO.,LTD.",TOPIX Small 1,,
543A,0111,ARCHION Corporation,TOPIX Small 1,,
5440,0111,KYOEI STEEL LTD.,TOPIX Small 1,,
5444,0111,"YAMATO KOGYO CO.,LTD.",TOPIX Mid400,,
5445,0111,"TOKYO TEKKO CO.,LTD.",TOPIX Small 1,,
5451,0111,"YODOKO,Ltd.",TOPIX Small 1,,
5461,0111,"Chubu Steel Plate Co.,Ltd.",TOPIX Small 1,,
5463,0111,Maruichi Steel Tube Ltd.,TOPIX Mid400,,
5471,0111,"Daido Steel Co.,Ltd.",TOPIX Mid400,,
547A,0111,Muninova Holdings Inc.,TOPIX Small 1,,
5480,0111,"Nippon Yakin kogyo Co.,Ltd.",TOPIX Small 1,,
5482,0111,AICHI STEEL CORPORATION,TOPIX Small 1,,
5563,0111,"Nippon Denko Co.,Ltd.",TOPIX Small 1,,
5602,0111,"Kurimoto,Ltd.",TOPIX Small 1,,
5631,0111,"The Japan Steel Works,Ltd.",TOPIX Mid400,,
5702,0111,"DAIKI ALUMINIUM INDUSTRY CO.,LTD.",TOPIX Small 1,,
