code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
1605,INPEX CORPORATION,FY2025,net_profit,330000000000.0,2025-02-13,390000000000.0,2025-11-13,3
1605,INPEX CORPORATION,FY2025,net_sales,2119000000000.0,2025-02-13,2000000000000.0,2025-11-13,3
1605,INPEX CORPORATION,FY2025,operating_profit,1106000000000.0,2025-02-13,1120000000000.0,2025-11-13,3
1605,INPEX CORPORATION,FY2026,dps,108.0,2026-02-12,108.0,2026-05-13,0
1605,INPEX CORPORATION,FY2026,eps,283.17,2026-02-12,283.17,2026-02-12,0
1605,INPEX CORPORATION,FY2026,net_profit,330000000000.0,2026-02-12,330000000000.0,2026-02-12,0
1605,INPEX CORPORATION,FY2026,net_sales,1893000000000.0,2026-02-12,1893000000000.0,2026-02-12,0
1605,INPEX CORPORATION,FY2026,operating_profit,957000000000.0,2026-02-12,957000000000.0,2026-02-12,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,dps,150.0,2024-08-08,25.0,2025-02-12,1
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,eps,170.62,2024-08-08,337.57,2025-02-12,2
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,net_profit,44000000000.0,2024-08-08,87000000000.0,2025-02-12,2
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,net_sales,358400000000.0,2024-08-08,383400000000.0,2025-02-12,2
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,operating_profit,53800000000.0,2024-08-08,63700000000.0,2025-02-12,2
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2025,ordinary_profit,57800000000.0,2024-08-08,66800000000.0,2025-02-12,2
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,dps,40.0,2025-05-13,40.0,2026-02-12,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,eps,117.23,2025-05-13,175.82,2026-02-12,3
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,net_profit,30000000000.0,2025-05-13,45000000000.0,2026-02-12,3
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,net_sales,332400000000.0,2025-05-13,347000000000.0,2026-02-12,3
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,operating_profit,28000000000.0,2025-05-13,39000000000.0,2026-02-12,3
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2026,ordinary_profit,36000000000.0,2025-05-13,55000000000.0,2026-02-12,3
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,dps,45.0,2026-05-13,45.0,2026-05-13,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,eps,234.38,2026-05-13,234.38,2026-05-13,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,net_profit,60000000000.0,2026-05-13,60000000000.0,2026-05-13,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,net_sales,303000000000.0,2026-05-13,303000000000.0,2026-05-13,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,operating_profit,41000000000.0,2026-05-13,41000000000.0,2026-05-13,0
1662,"Japan Petroleum Exploration Co.,Ltd.",FY2027,ordinary_profit,45000000000.0,2026-05-13,45000000000.0,2026-05-13,0
1663,K&O Energy Group Inc.,FY2024,dps,42.0,2024-08-09,42.0,2024-11-12,0
1663,K&O Energy Group Inc.,FY2024,eps,198.86,2024-08-09,198.86,2024-11-12,0
1663,K&O Energy Group Inc.,FY2024,net_profit,5300000000.0,2024-08-09,5300000000.0,2024-11-12,0
1663,K&O Energy Group Inc.,FY2024,net_sales,94600000000.0,2024-08-09,94600000000.0,2024-11-12,0
1663,K&O Energy Group Inc.,FY2024,operating_profit,7800000000.0,2024-08-09,7800000000.0,2024-11-12,0
1663,K&O Energy Group Inc.,FY2024,ordinary_profit,8700000000.0,2024-08-09,8700000000.0,2024-11-12,0
1663,K&O Energy Group Inc.,FY2025,dps,48.0,2025-02-14,50.0,2025-11-13,1
1663,K&O Energy Group Inc.,FY2025,eps,232.53,2025-02-14,269.82,2025-11-13,1
1663,K&O Energy Group Inc.,FY2025,net_profit,6200000000.0,2025-02-14,7200000000.0,2025-11-13,1
1663,K&O Energy Group Inc.,FY2025,net_sales,91900000000.0,2025-02-14,90700000000.0,2025-11-13,1
1663,K&O Energy Group Inc.,FY2025,operating_profit,7700000000.0,2025-02-14,9000000000.0,2025-11-13,1
1663,K&O Energy Group Inc.,FY2025,ordinary_profit,8600000000.0,2025-02-14,10000000000.0,2025-11-13,1
1663,K&O Energy Group Inc.,FY2026,dps,60.0,2026-02-13,45.0,2026-05-13,1
1663,K&O Energy Group Inc.,FY2026,eps,236.01,2026-02-13,118.0,2026-05-13,1
1663,K&O Energy Group Inc.,FY2026,net_profit,6300000000.0,2026-02-13,6300000000.0,2026-05-13,0
1663,K&O Energy Group Inc.,FY2026,net_sales,87000000000.0,2026-02-13,87000000000.0,2026-05-13,0
1663,K&O Energy Group Inc.,FY2026,operating_profit,9200000000.0,2026-02-13,9200000000.0,2026-05-13,0
1663,K&O Energy Group Inc.,FY2026,ordinary_profit,10300000000.0,2026-02-13,10300000000.0,2026-05-13,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,dps,140.0,2024-08-08,140.0,2025-02-07,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,eps,199.88,2024-08-08,199.8,2025-02-07,1
