Code,VsTopix3M,VsTopix6M,VsTopix12M,TopixReturn3M,TopixReturn6M,TopixReturn12M,ComputedDate
8928,,-21.2,,3.73,24.13,53.95,2026-08-06
8958,,-35.1,,3.73,24.13,53.95,2026-08-06
8986,,-31.6,,3.73,24.13,53.95,2026-08-06
9017,,-23.5,,3.73,24.13,53.95,2026-08-06
9028,,-26.8,,3.73,24.13,53.95,2026-08-06
9036,7.9,-7.9,,3.73,24.13,53.95,2026-08-06
9059,,-21.1,,3.73,24.13,53.95,2026-08-06
9087,,15.1,,3.73,24.13,53.95,2026-08-06
9101,,-3.6,,3.73,24.13,53.95,2026-08-06
9130,,3.6,,3.73,24.13,53.95,2026-08-06
9171,,-23.9,,3.73,24.13,53.95,2026-08-06
9202,,-21.6,,3.73,24.13,53.95,2026-08-06
9211,,-26.1,,3.73,24.13,53.95,2026-08-06
9221,,-31.8,,3.73,24.13,53.95,2026-08-06
9225,,-27.8,,3.73,24.13,53.95,2026-08-06
9227,,-44.3,,3.73,24.13,53.95,2026-08-06
9233,,-25.9,,3.73,24.13,53.95,2026-08-06
9241,,-27.2,,3.73,24.13,53.95,2026-08-06
9242,-9.2,,,3.73,24.13,53.95,2026-08-06
9270,,-10.0,,3.73,24.13,53.95,2026-08-06
9271,,-11.0,,3.73,24.13,53.95,2026-08-06
9331,2.3,-19.8,,3.73,24.13,53.95,2026-08-06
9340,,-20.2,,3.73,24.13,53.95,2026-08-06
9347,,-20.4,,3.73,24.13,53.95,2026-08-06
9367,,-40.4,,3.73,24.13,53.95,2026-08-06
9369,,-23.9,,3.73,24.13,53.95,2026-08-06
9376,,-31.0,,3.73,24.13,53.95,2026-08-06
9419,,-18.9,,3.73,24.13,53.95,2026-08-06
9423,,-21.8,,3.73,24.13,53.95,2026-08-06
9428,,-19.0,,3.73,24.13,53.95,2026-08-06
9433,,-15.3,,3.73,24.13,53.95,2026-08-06
9436,,1.5,,3.73,24.13,53.95,2026-08-06
9439,,-20.9,,3.73,24.13,53.95,2026-08-06
9475,,-17.9,,3.73,24.13,53.95,2026-08-06
9478,,-4.7,,3.73,24.13,53.95,2026-08-06
9501,,-31.8,,3.73,24.13,53.95,2026-08-06
9502,,-8.7,,3.73,24.13,53.95,2026-08-06
9519,,9.1,,3.73,24.13,53.95,2026-08-06
9536,,-19.2,,3.73,24.13,53.95,2026-08-06
9537,,-5.0,,3.73,24.13,53.95,2026-08-06
9557,,-36.8,,3.73,24.13,53.95,2026-08-06
